fill,t1,t2,mean_lumi,mean_sbil,ntracks_time,ntracks_resi,bkg_frac,bkg_frac_e,bkg_m0,bkg_m0_e,bkg_s0,bkg_s0_e,BS_X,BS_X_std,BS_Y,BS_Y_std,chi2,fSlopeY(%),fSlopeY_e(%),fR(%),fR_e(%)
8211,1664492400,1664492699,847.4195095413077,5.804243216036354,38319,37548,0.0224973,0.00201839,0.0265913,0.00109592,0.0176159,0.00080769,-0.0111845,1.13297,0.00816869,1.10044,3.16037,2.24973,0.20183900000000002,2.012056682063728,0.07246245140486349
8211,1664492700,1664492999,844.3476811808462,5.78320329575922,39677,38891,0.0180399,0.00189077,0.0274928,0.00122616,0.0193502,0.000858973,-0.0141707,1.12434,0.00589934,1.09875,3.27877,1.8039900000000002,0.189077,1.9809965471179776,0.07065980678416305
8211,1664493000,1664493299,903.0850521128464,6.185514055567441,40471,39631,0.0235145,0.00192774,0.0272127,0.000992012,0.0190621,0.000712955,-0.0129863,1.14274,0.0110081,1.09823,3.83203,2.3514500000000003,0.192774,2.0755602777297324,0.07161363320001699
8211,1664493300,1664493599,996.6354526850768,6.826270223870389,41114,40154,0.023241,0.00193093,0.0276508,0.000998274,0.0183009,0.000708872,-0.0138732,1.13346,0.0161885,1.11666,4.5088,2.3241,0.193093,2.3349710560879506,0.07536086678420814
8211,1664493600,1664493899,1043.8888723603843,7.149923783290303,41358,40378,0.0267878,0.00195234,0.0273016,0.000902047,0.0175871,0.000630199,-0.00901379,1.13814,-0.00553018,1.11708,3.75433,2.67878,0.19523400000000002,2.369553653464868,0.07569261493543464
8211,1664493900,1664494199,1030.319223769308,7.056980984721289,41473,40463,0.0305984,0.00201442,0.0277329,0.000800831,0.0174822,0.000594179,-0.0212254,1.16748,0.00447257,1.1305,4.12578,3.0598400000000003,0.20144199999999998,2.435319364405758,0.07662936648938203
8211,1664494200,1664494499,1018.2760152905,6.974493255414384,41597,40546,0.0295683,0.00198166,0.0271719,0.000828062,0.0178433,0.000595702,-0.0163564,1.15303,0.000934719,1.13062,3.97938,2.95683,0.198166,2.5266245161910716,0.07793622173448722
8211,1664494500,1664494799,1052.2257363938463,7.207025591738674,41489,40405,0.0338964,0.00204702,0.0271916,0.000739134,0.0176673,0.000560812,-0.0128962,1.16634,0.0131406,1.14124,4.55631,3.38964,0.204702,2.6127407264576155,0.07935634810747104
8211,1664494800,1664495099,1041.300538411154,7.132195468569549,41249,40251,0.0276804,0.0019625,0.0255188,0.000894555,0.0181472,0.000645519,-0.0172794,1.17218,0.0133682,1.11912,4.751,2.76804,0.19624999999999998,2.4194525927901283,0.07658643360533014
8211,1664495100,1664495399,1036.9009397518462,7.102061231177029,41589,40588,0.025012,0.00195059,0.0267407,0.000955347,0.0177738,0.000700284,-0.016454,1.13743,0.00582937,1.11701,4.93498,2.5012,0.195059,2.4068864363172953,0.07607440438364171
8211,1664495400,1664495699,1067.619918241846,7.312465193437302,41841,40821,0.0317921,0.00202319,0.0274027,0.000777992,0.017539,0.000588132,-0.00570715,1.16019,0.00625104,1.12857,4.17538,3.17921,0.20231899999999997,2.4378002437800244,0.07633048647341752
8211,1664495700,1664495999,1053.802430463769,7.217824866190199,41765,40745,0.0342354,0.00204406,0.0265003,0.00074084,0.0170312,0.000551374,-0.0120083,1.16743,0.00755209,1.14444,3.91473,3.42354,0.20440599999999998,2.442236322279421,0.07646938547909164
8211,1664496000,1664496299,1041.5362828432308,7.133810156460485,41583,40644,0.0273145,0.00194296,0.0276427,0.000877715,0.018535,0.000639002,-0.0165711,1.15245,0.0111406,1.11965,3.8487,2.7314499999999997,0.194296,2.2581343337421544,0.07369142893030596
8211,1664496300,1664496599,1049.497420677846,7.188338497793467,41704,40659,0.0291492,0.00198796,0.026619,0.00084145,0.0172786,0.000599661,-0.0203474,1.14608,0.00335154,1.12168,3.73963,2.91492,0.198796,2.5057548436600805,0.07751405081164692
8211,1664496600,1664496899,1075.8743045903332,7.369002086235159,41497,40518,0.0257931,0.00190942,0.0260408,0.00094831,0.0183721,0.000666522,-0.0233352,1.14454,0.00913604,1.12541,3.93641,2.57931,0.190942,2.359206689640215,0.07540057279881444
8211,1664496900,1664497199,1060.341730290077,7.262614591027925,41623,40582,0.0312724,0.00197006,0.0269214,0.000794532,0.0180373,0.00056169,-0.0183959,1.16307,0.0134076,1.13056,4.0293,3.12724,0.19700600000000001,2.5010210700814453,0.07751611274968974
8211,1664497200,1664497499,1045.5746633756924,7.161470297093783,41677,40623,0.0342004,0.00200225,0.027485,0.000735525,0.0181564,0.000533442,-0.0210398,1.17947,0.00587228,1.1322,4.96982,3.4200399999999997,0.20022500000000001,2.528972814741944,0.07789756019266225
8211,1664497500,1664497799,1027.4621054843076,7.037411681399367,41717,40709,0.0309862,0.00203174,0.0263648,0.000789897,0.0175267,0.000590153,-0.0180331,1.16055,0.00371291,1.1242,4.07739,3.09862,0.20317400000000002,2.4162811323920703,0.07610570207055897
8211,1664497800,1664498099,1022.973627277154,7.006668679980507,41383,40394,0.0280571,0.00199397,0.0259187,0.000865401,0.0176137,0.00061713,-0.0259197,1.14342,0.00831912,1.11041,4.51471,2.8057100000000004,0.199397,2.3898702365705726,0.07599345235249444
8211,1664498100,1664498399,899.8891985174619,6.1636246473798755,37822,36969,0.026064,0.00200619,0.0259771,0.000970222,0.0188677,0.000689869,-0.0160803,1.13605,0.00778837,1.11554,4.46841,2.6064,0.20061900000000002,2.2553011474803024,0.07722004053995153
8211,1664498400,1664498699,579.4547787056155,3.968868347298736,29372,28830,0.018173,0.00208261,0.0247732,0.00153964,0.0196457,0.000978842,-0.0114899,1.12269,0.00792323,1.10422,3.02106,1.8173000000000001,0.208261,1.8452948386218166,0.07926220023711572
8211,1664498700,1664498999,823.5761070933078,5.640932240365122,35695,34899,0.0229605,0.00205041,0.0263642,0.00110156,0.0186539,0.000789586,-0.0256457,1.13364,0.0101865,1.09458,4.00928,2.2960499999999997,0.205041,2.2300042022692255,0.07904040330391307
8211,1664499000,1664499299,1024.7739569386924,7.018999705059537,41703,40699,0.0278924,0.00196988,0.026228,0.000874031,0.0175969,0.000624025,-0.0203055,1.15756,0.0154018,1.10131,4.32853,2.78924,0.19698799999999997,2.4075006594249815,0.07598004708416593
