fill,h,t1,t2,mean_lumi,mean_sbil
9050,0,1688985300,1688985599,10408.915375501076,10408.915375501076
9050,1,1688985600,1688985899,11616.252396794998,11616.252396794998
9050,2,1688985900,1688986199,12330.405401979233,12330.405401979233
9050,3,1688986200,1688986499,13660.645922915768,13660.645922915768
9050,4,1688986500,1688986799,15062.315964472231,15062.315964472231
9050,5,1688986800,1688987099,16518.48054060185,16518.48054060185
9050,6,1688987100,1688987399,17647.49919238254,17647.49919238254
9050,7,1688987400,1688987699,17892.885247861846,17892.885247861846
9050,8,1688987700,1688987999,18741.970415534,18741.970415534
9050,9,1688988000,1688988299,19836.092944139666,19836.092944139666
9050,10,1688988300,1688988599,19858.750677533153,19858.750677533153
9050,11,1688988600,1688988899,20216.497008575847,20216.497008575847
9050,12,1688988900,1688989199,20323.507195481154,20323.507195481154
9050,13,1688989200,1688989499,20321.488648453073,20321.488648453073
9050,14,1688989500,1688989799,20168.021530330538,20168.021530330538
9050,15,1688989800,1688990099,19999.462711922923,19999.462711922923
9050,16,1688990100,1688990399,19868.911473842072,19868.911473842072
9050,17,1688990400,1688990699,20430.501806946166,20430.501806946166
9050,18,1688990700,1688990999,20470.718545638923,20470.718545638923
9050,19,1688991000,1688991299,20313.65710667154,20313.65710667154
9050,20,1688991300,1688991599,20156.46600591846,20156.46600591846
9050,21,1688991600,1688991899,20003.48853757377,20003.48853757377
9050,22,1688991900,1688992199,19966.848641177075,19966.848641177075
9050,23,1688992200,1688992499,20658.892352520998,20658.892352520998
9050,24,1688992500,1688992799,20412.685293541497,20412.685293541497
9050,25,1688992800,1688993099,20280.94252174885,20280.94252174885
9050,26,1688993100,1688993399,20137.235946173998,20137.235946173998
9050,27,1688993400,1688993699,19986.940658815074,19986.940658815074
9050,28,1688993700,1688993999,19916.555043275235,19916.555043275235
9050,29,1688994000,1688994299,20411.569633759693,20411.569633759693
9050,30,1688994300,1688994599,20287.020399152923,20287.020399152923
9050,31,1688994600,1688994899,20037.971060187538,20037.971060187538
9050,32,1688994900,1688995199,19943.424005150246,19943.424005150246
9050,33,1688995200,1688995499,19859.98103716177,19859.98103716177
9050,34,1688995500,1688995799,20240.736851134312,20240.736851134312
9050,35,1688995800,1688996099,20073.84395378723,20073.84395378723
9050,36,1688996100,1688996399,19901.448468695155,19901.448468695155
9050,37,1688996400,1688996699,19624.201071953074,19624.201071953074
9050,38,1688996700,1688996999,19949.18834543323,19949.18834543323
9050,39,1688997000,1688997299,19863.935045508617,19863.935045508617
9050,40,1688997300,1688997599,20612.200913265664,20612.200913265664
9050,41,1688997600,1688997899,20421.11517513169,20421.11517513169
9050,42,1688997900,1688998199,20221.71653397631,20221.71653397631
9050,43,1688998200,1688998499,20043.312284366693,20043.312284366693
9050,44,1688998500,1688998799,19899.121017112462,19899.121017112462
9050,45,1688998800,1688999099,20359.465728962386,20359.465728962386
9050,46,1688999100,1688999399,20447.813333021077,20447.813333021077
9050,47,1688999400,1688999699,20333.369654496,20333.369654496
9050,48,1688999700,1688999999,20187.322205415843,20187.322205415843
9050,49,1689000000,1689000299,20043.273370806615,20043.273370806615
9050,50,1689000300,1689000599,19859.229509641613,19859.229509641613
9050,51,1689000600,1689000899,19850.211780380538,19850.211780380538
9050,52,1689000900,1689001199,19767.879701882383,19767.879701882383
9050,53,1689001200,1689001499,19757.919032454076,19757.919032454076
9050,54,1689001500,1689001799,19724.734479901617,19724.734479901617
9050,55,1689001800,1689002099,19776.62822893758,19776.62822893758
9050,56,1689002100,1689002399,19652.225446040233,19652.225446040233
9050,57,1689002400,1689002699,19502.851163019383,19502.851163019383
9050,58,1689002700,1689002999,19286.648023952155,19286.648023952155
9050,59,1689003000,1689003299,19075.66350881277,19075.66350881277
9050,60,1689003300,1689003599,19010.643306962156,19010.643306962156
9050,61,1689003600,1689003899,18879.387267682385,18879.387267682385
9050,62,1689003900,1689004199,18759.77404539531,18759.77404539531
9050,63,1689004200,1689004499,18641.996070740835,18641.996070740835
9050,64,1689004500,1689004799,18404.915463248857,18404.915463248857
9050,65,1689004800,1689005099,18173.72080538692,18173.72080538692
