#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
370497:9057,18:18,07/11/23 09:45:10,STABLE BEAMS,6800,12406.193917437,12230.983144641,36.0,PLTZERO
370497:9057,19:19,07/11/23 09:45:33,STABLE BEAMS,6800,12315.902813931,5701.776298614,35.7,PLTZERO
370497:9057,20:20,07/11/23 09:45:57,STABLE BEAMS,6800,12352.747795307,11761.829716943,35.8,PLTZERO
370497:9057,21:21,07/11/23 09:46:20,STABLE BEAMS,6800,12390.504916542,12216.638262117,35.9,PLTZERO
370497:9057,22:22,07/11/23 09:46:43,STABLE BEAMS,6800,12366.077342349,9651.312933974,35.9,PLTZERO
370497:9057,23:23,07/11/23 09:47:07,STABLE BEAMS,6800,12287.842305824,12089.526041376,35.6,PLTZERO
370497:9057,24:24,07/11/23 09:47:30,STABLE BEAMS,6800,12268.235205233,12114.796753060,35.6,PLTZERO
370497:9057,25:25,07/11/23 09:47:53,STABLE BEAMS,6800,12243.215814386,12062.361860723,35.5,PLTZERO
370497:9057,26:26,07/11/23 09:48:17,STABLE BEAMS,6800,12250.782473517,12083.167446112,35.5,PLTZERO
370497:9057,27:27,07/11/23 09:48:40,STABLE BEAMS,6800,12212.701122697,12030.329592247,35.4,PLTZERO
370497:9057,28:28,07/11/23 09:49:03,STABLE BEAMS,6800,12208.103312786,12055.565416450,35.4,PLTZERO
370497:9057,29:29,07/11/23 09:49:26,STABLE BEAMS,6800,12229.897986486,12059.310152317,35.5,PLTZERO
370497:9057,30:30,07/11/23 09:49:50,STABLE BEAMS,6800,12244.585000770,12060.374978024,35.5,PLTZERO
370497:9057,31:31,07/11/23 09:50:13,STABLE BEAMS,6800,12228.991706198,12076.181674840,35.5,PLTZERO
370497:9057,32:32,07/11/23 09:50:36,STABLE BEAMS,6800,12218.532372267,12053.362240016,35.4,PLTZERO
370497:9057,33:33,07/11/23 09:51:00,STABLE BEAMS,6800,12209.739109642,12038.378622231,35.4,PLTZERO
370497:9057,34:34,07/11/23 09:51:23,STABLE BEAMS,6800,12200.186056000,12005.794293223,35.4,PLTZERO
370497:9057,35:35,07/11/23 09:51:46,STABLE BEAMS,6800,12191.929920701,12039.937675859,35.4,PLTZERO
370497:9057,36:36,07/11/23 09:52:10,STABLE BEAMS,6800,12257.914547812,12086.705687343,35.6,PLTZERO
370497:9057,37:37,07/11/23 09:52:33,STABLE BEAMS,6800,12634.480843764,12455.628312683,36.7,PLTZERO
370497:9057,38:38,07/11/23 09:52:56,STABLE BEAMS,6800,12686.443517880,8707.773642012,36.8,PLTZERO
370497:9057,39:39,07/11/23 09:53:20,STABLE BEAMS,6800,12677.450053252,12484.873533676,36.8,PLTZERO
370497:9057,40:40,07/11/23 09:53:43,STABLE BEAMS,6800,12663.189811043,12475.433993290,36.7,PLTZERO
370497:9057,41:41,07/11/23 09:54:06,STABLE BEAMS,6800,12660.542261623,12477.415789043,36.7,PLTZERO
370497:9057,42:42,07/11/23 09:54:30,STABLE BEAMS,6800,12656.672015090,12475.839463710,36.7,PLTZERO
370497:9057,43:43,07/11/23 09:54:53,STABLE BEAMS,6800,12988.235830477,8998.887113927,37.7,PLTZERO
370497:9057,44:44,07/11/23 09:55:16,STABLE BEAMS,6800,13329.163240048,13105.742815581,38.7,PLTZERO
370497:9057,45:45,07/11/23 09:55:39,STABLE BEAMS,6800,13329.068510320,13124.434176602,38.7,PLTZERO
370497:9057,46:46,07/11/23 09:56:03,STABLE BEAMS,6800,13327.702253722,13125.705538957,38.7,PLTZERO
370497:9057,47:47,07/11/23 09:56:26,STABLE BEAMS,6800,13321.685451075,13121.894093929,38.6,PLTZERO
370497:9057,48:48,07/11/23 09:56:49,STABLE BEAMS,6800,13318.398231840,13094.766860872,38.6,PLTZERO
370497:9057,49:49,07/11/23 09:57:13,STABLE BEAMS,6800,13440.559541088,13235.051338956,39.0,PLTZERO
370497:9057,50:50,07/11/23 09:57:36,STABLE BEAMS,6800,14020.895342420,13790.699228472,40.7,PLTZERO
